code,name,bods_itm_code,tnds_code
N92000002,Northern Ireland,,
S92000003,Scotland,scotland,
W92000004,Wales,wales,
E92000001,England,,
E12000001,North East,north_east,
E12000002,North West,north_west,
E12000003,Yorkshire and The Humber,yorkshire,
E12000004,East Midlands,east_midlands,
E12000005,West Midlands,west_midlands,
E12000006,East of England,east_anglia,
E12000007,London,london,
E12000008,South East,south_east,
E12000009,South West,south_west,
